Biagio Casalodi
Sabatino Bova
Vincenza Scialpi-Malenchini
Vittoria Biagiotti
Aurora Toscani
Mario Solimena
Toni Bonino
Romina Pininfarina
Ermes Tedesco
Sig.ra Lolita Speri
Sig. Azeglio Ricciardi
Sig. Alderano Pausini
Alfio Franceschi
Luciano Toso
Dino Jovinelli-Parri
Francesca Bertoli
Bettina Telesio
Sig.ra Luigina Boccaccio
Berenice Brichese
Sig.ra Sandra Bresciani
Gianfranco Monti
Dott. Ivo Marrone
Tonia Brancaccio
Sig. Costantino Parisi
Giustino Pezzali-Ravaglioli
Stella Babato-Dandolo
Nadia Ovadia
Ornella Gregori
Morena Schiavone
Giulia Treves
Dott. Sophia Cilea
Pierina Monteverdi
Erika Guidone-Interminei
Susanna Cundari
Sig.ra Gloria Contrafatto
Dott. Donatella Caetani
Goffredo Moccia
Luigina Stucchi
Elvira Barcaccia
Nina Tomaselli
Amalia Romagnoli
Mauro Doria-Aloisio
Antonello Tamburello
Lidia Tarantino
Gioffre Ruffini
Puccio Lucchesi
Elena Tosi
Pierpaolo Raurica
Uberto Dellucci
Greca Ruggeri-Ferrucci
Giuseppina Bonaventura
Sandro Capuana
Melina Malatesta
Barbara Trevisan-Luxardo
Cassandra Varano
Matilda Bembo
Gabriella Paganini
Olga Proietti
Annunziata Franceschi
Giampaolo Cilibrasi
Sig.ra Letizia Bulzoni
Ornella Padovano
Arnulfo Almagià
Dott. Michela Busoni
Manuel Taliercio
Dino Mantegna
Martina Ruggieri
Angelo Sokolov
Paoletta Salandra
Gioffre Lamborghini
Bartolomeo Cerutti
Marissa Milanesi
Monica Leonetti
Sig. Delfino Trapani
Sig.ra Etta Mazzi
Ippazio Zabarella
Fabio Riccati
Stefano Gradenigo
Ezio Fattori-Trombetta
Dott. Camillo Luzi
Claudia Mascheroni
Ida Abatantuono
Nicolò Catalano-Gianetti
Gabriele Polesel-Govoni
Angelina Bocelli
Alina Bruscantini
Matteo Argento-Volterra
Rita Gottardi
Marta Turci-Sagredo
Sante Piane-Mastroianni
Gianpaolo Scalfaro-Barberini
Gianpietro Moretti
Gianna Natta
Irma Treves
Laura Trentini-Stefanelli
Sig. Severino Barzini
Ida Carli
Sig.ra Eleanora Lombardo
Cirillo Camicione
Dott. Hugo Pizziol
Maria Carocci
Jolanda Gasperi
Orazio Carducci
Dott. Martina Pisaroni
Agnolo Pontecorvo-Zecchini
Dott. Enzio Canil
Pierina Barberini
Alfredo Zaccardo
Chiara Chinnici-Dossetti
Tonino Roero-Camanni
Laureano Polizzi
Sebastiano Ludovisi
Marco Pucci-Migliaccio
Paola Montessori
Liana Persico
Ugo Bosurgi
Elvira Valier-Gaggini
Natalia Carriera
Sig. Ronaldo Costanzi
Dott. Claudia Raurica
Milena Roero-Quasimodo
Sig. Oreste Grassi
Manuel Tomaselli
Piersanti Fattori
Chiara Brenna
Puccio Garozzo
Gastone Bonanno
Dott. Renata Trapani
Maria Oliboni
Alessia Greggio
Etta Brambilla
Gaspare Toscanini
Tiziano Cesaroni
Chiara Pratesi
Enzo Gaiatto-Mengolo
Sig. Piero Fanucci
Adriana Zaccardo
Giovanni Emanuelli-Mancini
Antonino Impastato
Angelo Ferraris-Gibilisco
Dott. Lauretta Biagi
Sophia Lombardo-Almagià
Gastone Oliboni
Niccolò Prodi
Maria Renzi-Valier
Iolanda Farinelli
Elisa Caccioppoli-Federici
Raffaellino Balbo
Federico Dossetti
Lorenzo Cicala
Serena Canali-Fusani
Sig.ra Margherita Tarantino
Greca Gentili
Dott. Livia Guidone
Priscilla Anguissola
Benedetto Columbo
Corrado Borghese
Dott. Gioacchino Lettiere
Gabriele Barozzi
Martina Giammusso
Sig. Nicolò Sraffa
Tonino Fantoni
Virginia Leblanc
Giuliana Tencalla-Fagiani
Dott. Allegra Malatesta
Michele Pratesi
Cesare Panzera-Udinesi
Silvia Ficino
Vincenzo Ferrante
Graziella Tresoldi
Rosario Pergolesi
Edoardo Scarlatti-Travaglio
Giampaolo Faugno
Federica Cerutti
Giada Scarponi
Liliana Gregorio
Pina Trapani-Matteotti
Sig.ra Iolanda Brunello
Dott. Niccolò Ferrante
Gabriele Tolentino
Amedeo Letta
Bernardo Maggioli
Carolina Verga-Avogadro
Alberico Bevilacqua
Oreste Cuda
Rocco Abate
Dott. Veronica Piccinni
Lazzaro Pedroni
Mercedes Baglioni
Girolamo Tosi
Sig.ra Silvia Marconi
Fabia Novaro
Lucrezia Leoncavallo
Nicolò Rensi
Lazzaro Asmundo
Antonino Bulzoni
Milo Volterra-Matteotti
Matilda Pareto
Ludovico Zacco
Lina Delle-Cannizzaro
Costanzo Santorio
Eugenia Donini
Lidia Gregorio
Annamaria Bianchi
Gilberto Costanzi
Sig.ra Paoletta Gianinazzi
Sig.ra Etta Toscanini
Jolanda Mercalli
Laura Speri-Zampa
Lucio Mantegazza
Patrizia Silvestri
Graziella Cutrufo-Praga
Ignazio Morosini
Dott. Lazzaro Dallapé
Bianca Castelli
Sonia Montesano
Ermes Busoni
Donato Botticelli-Niggli
Stefani Cesarotti-Cibin
Gianluigi Udinesi
Sante Omma-Nicolucci
Paoletta Cicala
Michela Dandolo
Isabella Strangio
Michela Abatantuono
Angelica Benigni-Garibaldi
Lamberto Polesel
Ludovica Rizzoli
Piero Gabba
Allegra Zoppetto
Baccio Scialpi
Gioffre Berlusconi
Liberto Moresi
Ludovica Barzini-Detti
Dott. Nico Farnese
Tina Bertolucci-Savorgnan
Vincenza Priuli
Alessio Scarfoglio
Michelangelo Cuzzocrea
Roman Greggio
Mauro Fantini-Morandi
Ferdinando Papafava
Adele Palmisano
Paola Sismondi
Melania Onio-Altera
Torquato Cociarelli
Daria Cilibrasi
Leopoldo Ferrabosco
Stefani Rizzo
Umberto Tarchetti
Danilo Gozzi
Marina Scamarcio
Veronica Littizzetto
Annalisa Toscani
Donna Calvo
Tatiana Navone
Sig. Pietro Antonetti
Dott. Umberto Flaiano
Susanna Scaramucci
Edoardo Lancisi
Sig.ra Giovanna Bevilacqua
Gianpietro Bonanno-Migliaccio
Ivan Visintini
Vittorio Villarosa-Cusano
Lauretta Pirandello
Vincentio Binaghi
Bettina Simeoni
Margherita Emanuelli
Gastone Armellini
Dott. Nina Zeffirelli
Emma Russo
Sig.ra Dina Pietrangeli
Olga Satta
Antonia Binaghi
Sig.ra Elisa Busoni
Pietro Emanuelli
Romana Bellocchio
Simonetta Modugno
Gianpaolo Armellini-Flaiano
Annunziata Lombroso
Antonina Sforza
Sig. Marco Paoletti
Dina Gualtieri
Lolita Chiappetta
Sig.ra Giuliana Petralli
Gioele Marcacci
Teresa Calgari
Marcantonio Boito
Milo Buonauro
Greca Murri
Sig.ra Antonietta Papafava
Gianfrancesco Comisso
Claudio Altera
Greca Parri
Raffaele Morosini
Roberta Fracci
Sig. Antonello Donatoni
Eva Anguissola-Ceci
Romina Caironi
Alfio Turati
Fabia Pisano
Sig. Giorgio Farinelli
Piergiorgio Gualandi
Alina Meucci
Allegra Ariosto-Venier
Benedetto Filangieri
Sig.ra Iolanda Zoppetti
Ignazio Torlonia
Alderano Fermi
Venancio Carnera
Giovanni Vergerio
Matilda Fusani
Morena Armellini
Michele Montecchi
Atenulf Branciforte-Lattuada
Cirillo Pepe
Alina Travia-Travia
Pierpaolo Scarpa-Ferrazzi
Dott. Maria Loredan
Dott. Giacinto Cimarosa
Giacobbe Fischetti
Ugo Vianello
Sig. Simone Cavalcanti
Elena Golino
Giovanna Brenna
Dario Trapani-Vitturi
Atenulf Pace
Dott. Fulvio Platini
Lamberto Verdi
Dott. Mercedes Giannelli
Pierpaolo Zanazzo-Zanazzo
Angelica Bacosi
Giuseppina Napolitano-Fuseli
Sig.ra Vanessa Dalla
Guido Montecchi
Claudia Bombieri
Lina Boezio
Annalisa Giannuzzi
Gianluigi Littizzetto-Matteotti
Sig.ra Loredana Cuomo
Gilberto Balotelli
Federico Gotti
Puccio Beccaria
Elladio Fantini
Alessio Santi
Lidia Morabito-Ruffini
Dott. Cristina Napolitano
Dott. Vito Pavanello
Aldo Maspero
Beatrice Zamorani
Sabatino Munari-Morgagni
Dino Stradivari
Raffaello Garobbio
Sig. Ferdinando Mercati
Laura Parri
Alberico Schiavone
Fredo Rosmini
Licia Luria
Silvia Prodi
Panfilo Pisaroni
Annibale Trobbiani
Augusto Ceschi
Pier Boldù
Paloma Foà-Carocci
Valerio Paoletti
Romolo Galtarossa-Legnante
Tatiana Asmundo
Leone Valmarana
Antonello Saraceno
Angelina Morrocco
Emma Giulietti
Dott. Donna Guinizzelli
Adriano Ortolani
Sig. Gioffre Treccani
Alessio Soffici
Giancarlo Scarlatti
Dott. Cassandra Bocca
Dott. Rosaria Balotelli
Stefani Scarlatti
Tonino Fracci-Biagi
Berenice Pace-Lombardo
Dott. Natalia Berlusconi
Fiorino Nadi
Flavia Bonatti
Sig.ra Stefani Mazzeo
Fiorino Torricelli
Melissa Belletini
Antonia Ruffini-Fagotto
Isabella Vianello
Dott. Annibale Soranzo
Sig. Riccardo Oliboni
Sig. Giuseppe Boito
Irma Camicione
Rocco Ponti
Sig.ra Sandra Piccio
Antonello Bruscantini
Romolo Mozart
Enzo Taccola
Agostino Gargallo
Luigi Mazzocchi
Bartolomeo Fagotto
Sig. Leopoldo Filippini
Dott. Fabia Gonzaga
Rosalia Mogherini-Celentano
Sandro Abatantuono
Sig. Benvenuto Mezzetta
Dott. Gianpietro Scaramucci
Pasquale Tognazzi
Irma Leopardi
Marta Alfonsi
Evangelista Interminelli
Dott. Giuliana Filippini
Calogero Travaglia
Hugo Mascheroni
Fabrizia Ungaretti
Fiamma Argan
Michela Gozzi-Miniati
Ramona Zoppetto-Bernardi
Donatello Caruso-Benussi
Antonino Udinese
Donna Gagliardi
Flora Jovinelli
Dott. Germana Pagliaro
Piero Moccia
Dott. Giampiero Storladi
Caterina Depero
Francesco Letta
Gianluigi Greggio
Nicola Canil
Serena Cappelli-Littizzetto
Imelda Cusano
Amleto Bernini
Giacinto Petrucci
Flora Benussi-Tartaglia
Enzo Nitto-Marenzio
Giampaolo Berrè-Armellini
Nicolò Biagi
Dott. Ciro Rienzo
Silvestro Delle
Dott. Vincentio Cianciolo
Dott. Lisa Palombi
Giampiero Serlupi
Barbara Iannelli-Toldo
Annunziata Gentili
Tina Lombardi
Dott. Enrico Babbo
Emma Bramante
Alberico Bramante-Castiglione
Ermenegildo Bianchini
Adelmo Rossi
Daria Garzoni
Durante Disdero
Sig. Orlando Depero
Cristina Foà
Lolita Vecellio
Ilaria Panzera
Sig.ra Adriana Ricciardi
Sylvia Endrizzi-Pirelli
Paoletta Granatelli
Lolita Pastine-Avogadro
Salvi Lupo
Sebastiano Rossi
Achille Sollima
Maria Treves
Benvenuto Balbo
Berenice Callegaro
Paolo Renzi-Palumbo
Mauro Ferrante-Curiel
Adelasia Missoni
Pietro Petrucelli
Imelda Bottigliero
Laureano Ferrata
Elladio Cesaroni
Virgilio Muti
Gelsomina Fanucci
Piermaria Zamorani
Mercedes Geraci
Priscilla Camicione
Sig.ra Lara Respighi
Nadia Cesarotti
Rossana Togliatti
Nicoletta Gonzaga-Pirandello
Flora Sagredo-Piovani
Francesco Scialpi
Melania Tamborini
Ermanno Rossi
Coriolano Morricone-Giradello
Guarino Mantegna
Dott. Antonietta Belletini
Giuliana Caboto
Massimo Cicilia
Marissa Bonomo
Romana Niscoromni
Isabella Soprano
Ettore Germano-Migliaccio
Liliana Cutuli
Rodolfo Battelli
Dott. Biagio Tozzo
Ugo Castelli
Dott. Licia Pietrangeli
Telemaco Cassarà
Lina Ughi
Dott. Simonetta Ferragni
Eugenia Bernini
Gioele Tebaldi
Ermenegildo Broggini-Tasso
Jolanda Bombieri
Luigina Gritti
Luisa Mattarella
Maria Passalacqua
Liliana Bottaro
Dott. Ranieri Monicelli
Gemma Curiel
Sig.ra Margherita Zoppetti
Damiano Bongiorno
Dott. Fabio Ricolfi
Dott. Allegra Durante
Dino Grifeo
Dott. Fredo Dulbecco
Giorgio Onisto
Guglielmo Muratori
Federigo Gualtieri-Rizzo
Sig.ra Adriana Vecellio
Sig.ra Gloria Surian
Torquato Cilea-Cheda
Dionigi Rismondo
Maria Micca
Viridiana Nordio
Amalia Scandone
Priscilla Bernardini-Agazzi
Chiara Segni-Gatto
Fiamma Cignaroli
Sig.ra Giulietta Cavanna
Gustavo Fo
Atenulf Bacosi
Angelo Druso-Soffici
Dott. Tonino Serlupi
Serena Soranzo
Dott. Fedele Zamorani
Rosaria Bonino
Piermaria Conte
Sig.ra Lisa Jacuzzi
Dott. Azeglio Alfonsi
Ezio Scarpa
Sig.ra Virginia Tartini
Fiorino Buscetta-Marconi
Sig.ra Beatrice Montesano
Ramona Morandi
Paloma Nitti
Rodolfo Bocelli-Ferragni
Sole Gozzi
Simonetta Scandone-Palombi
Eugenia Marazzi
Antonia Caironi-Galuppi
Sig.ra Milena Lucchesi
Guglielmo Babato
Carla Bignami-Beccheria
Valeria Montanari
Melissa Ciani
Allegra Endrizzi
Renata Bartoli
Daniele Borrani
Sandro Dallapé
Fabio Bertoli
Angelo Anguissola
Pietro Rosselli
Lara Leone
Rosaria Caracciolo
Lucrezia Mazzi-Dulbecco
Sig. Marcantonio Tamburi
Dott. Lucia Barbarigo
Adelasia Broggini
Silvia Trebbi
Fiorino Pacillo
Marcella Tacchini
Fabia Ammaniti
Antonina Guarneri-Anguissola
Maura Chindamo
Emma Pellico
Alessandra Filogamo
Liliana Filippini
Sig.ra Mariana Terragni
Dott. Paride Cicala
Dott. Giulio Federico
Atenulf Necci-Bertoli
Evangelista Puccini
Loretta Briccialdi-Condoleo
Ranieri Borghese
Rosina Palazzo
Graziella Vespa
Roberto Zamengo-Blasi
Flora Vecellio
Manuel Dibiasi
Vanessa Fagiani
Dott. Stefani Torlonia
Tiziano Interiano
Fortunata Montanariello
Sig.ra Ramona Boccioni
Sole Tafuri
Sig.ra Vanessa Luria
Dott. Michelangelo Goldoni
Adelasia Nugnes
Ludovica Nibali-Segni
Sig. Pier Cainero
Sandra Crispi
Flavio Rizzoli
Cirillo Vecoli-Abba
Guglielmo Sanguineti
Priscilla Pastine
Sig.ra Alina Fiorucci
Sig.ra Luigina Tuzzolino
Maria Ravaglioli
Fredo Chiaramonte
Sig. Corrado Abatantuono
Erika Ferrara
Toni Balla
Sig. Ruggero Pagnotto
Sig. Luciano Casalodi
Dott. Umberto Navarria
Giustino Maffei
Federico Forza
Sig.ra Beatrice Fo
Ronaldo Lercari
Liana Malaparte
Monica Garozzo
Federica Pugliese
Gustavo Offredi
Sig. Camillo Bragaglia
Milena Pagnotto
Dott. Alessio Travia
Lamberto Toscanini-Baglioni
Luigina Caracciolo
Agnolo Marini
Luciana Passalacqua
Giuseppe Marzorati-Amato
Massimo Calgari
Caterina Monteverdi
Dott. Maria Mazzanti
Aldo Piane-Bartoli
Toni Petrucelli
Donna Giusti-Brichese
Enrico Gabrieli
Gianluca Perozzo
Diana Goldoni
Piersanti Vanvitelli-Satta
Dott. Greca Falcone
Patrizio Orsini
Tiziana Pirandello
Gabriele Vergerio
Fiamma Gonzaga-Brunello
Emma Pezzali
Melissa Dossi
Ludovica Ponti
Dott. Gianna Pasolini
Ermenegildo Pedersoli-Botta
Piergiuseppe Pincherle
Dott. Luca Verdi
Melissa Meucci
Valeria Fioravanti
Sig. Maurizio Camuccini
Eliana Maffei-Salvemini
Raffaella Boldù-Malacarne
Giovanni Bonanno
Guglielmo Marangoni
Paoletta Scarponi
Giulietta Pozzecco
Enrico Pignatti
Geronimo Camanni
Loretta Carli
Sig. Adamo Aldobrandi
Ninetta Verga
Gioffre Asmundo-Morandi
Teresa Muti
Rita Vianello
Lilla Pininfarina
Ermenegildo Mazzeo
Romana Sforza
Liliana Soffici
Sig. Raffaello Cremonesi
Ricciotti Ubaldi
Sig. Pietro Gargallo
Dott. Stefano Palladio
Dott. Pierangelo Toscani
Claudia Giacometti
Ermenegildo Volta
Dott. Patrizia Guglielmi
Dott. Marcantonio Righi
Nicoletta Tedesco
Graziella Ponti
Pier Leone
Jacopo Maglio
Dott. Piermaria Boccherini
Stefania Vergerio
Sonia Cilibrasi
Giulio Pacelli
Dott. Tina Rosiello
Rodolfo Bulzoni
Orazio Cilibrasi
Vincenza Giannone-Fischetti
Calogero Sanudo-Finotto
Eva Giacconi-Anguillara
Dott. Ciro Badoer
Dante Marinetti-Puccini
Mattia Contrafatto
Gaspare Vergerio
Maria Aulenti
Alphons Capone
Adriana Balla
Elmo Collodi
Edoardo Missoni
Calogero Alonzi
Sig.ra Natalia Curiel
Pier Golgi
Achille Salvo
Stefania Zichichi
Ettore Peano
Dott. Vittorio Columbo
Filippa Legnante
Lisa Aporti
Nicoletta Gagliano
Francesco Donarelli
Giancarlo Morucci-Salvo
Ludovica Duodo
Gilberto Iannelli
Gemma Malacarne
Arnulfo Maffei
Marco Tamburi
Giorgia Tommaseo-Modigliani
Liana Iacobucci
Paolo Baglioni
Nico Mennea
Pasquale Pellegrini
Giancarlo Gualandi
Bruno Peano
Piermaria Sonnino
Sig. Luigi Greggio
Maria Federici
Massimo Rienzo
Elladio Fioravanti
Dott. Priscilla Petralli
Sig.ra Serafina Crisafulli
Luciano Calarco
Gioachino Gullotta-Fantozzi
Pietro Antonelli
Ronaldo Bonomo
Cesare Muratori
Cipriano Cherubini
Dott. Elmo Tarchetti
Emma Ciani
Tatiana Viola-Mengolo
Dott. Donatello Barcaccia
Berenice Cimarosa
Pina Grasso
Sig.ra Tiziana Pininfarina
Guido Badoer
Rossana Mazzocchi
Raffaellino Persico
Melania Crisafulli
Franco Mannoia
Enrico Gioberti-Detti
Emma Marzorati
Lina Morucci
Dott. Lauretta Ferraris
Lamberto Palmisano
Pompeo Iadanza-Lombroso
Francesca Paolini
Antonello Terragni
Cristina Berrè-Valmarana
Dott. Marissa Stradivari
Calcedonio Battaglia
Fedele Lanfranchi-Sinisi
Piergiorgio Gelli-Faranda
Daria Detti-Bottigliero
Manuel Borgia
Sig. Lorenzo Salandra
Agostino Montanariello
Dino Cadorna
Stefania Paolini
Sig.ra Lisa Torricelli
Sig. Nico Detti
Stefano Raimondi
Monica Barcaccia-Corradi
Gianluigi Fornaciari-Montanelli
Bartolomeo Bassi
Annamaria Marzorati
Licia Torricelli
Alderano Gabbana-Borsellino
Arnaldo Foscari
Vincenza Pedroni
Aria Filippelli
Annalisa Visconti
Giada Brugnaro
Livio Dallara
Sig.ra Clelia Gozzano
Santino Galeati
Dario Camicione
Gioele Celentano
Sig.ra Maria Tomaselli
Victoria Mazzeo
Simonetta Brunelleschi
Gemma Capone
Pasqual Boccioni
Dott. Amalia Dovara
Teresa Gentilini-Vanvitelli
Piermaria Antonelli-Gravina
Daria Trevisan
Marcantonio Antelami
Sig.ra Camilla Borromeo
Lolita Spallanzani
Gianna Marinetti
Arsenio Mengolo
Milena Pirandello
Dott. Niccolò Salieri
Marina Onio-Lanfranchi
Dott. Eugenia Tomasini
Gemma Curiel
Margherita Perini
Beatrice Gulotta
Anita Pace
Sig. Ranieri Solari
Silvio Fattori
Annibale Giusti
Maria Gori
Lara Canil
Simone Petrucelli
Giovanni Filangieri-Luxardo
Dott. Filippa Aulenti
Ezio Brugnaro
Alphons Borgia
Dott. Gilberto Desio
Sig.ra Chiara Esposito
Dott. Lando Zacco
Fiorino Fanucci
Umberto Leopardi
Sig.ra Michela Navarria
Girolamo Bossi
Sylvia Sagese
Lorenzo Venier
Pompeo Lupo
Sig.ra Paulina Antonello
Antonello Bruno
Alberto Ungaretti-Benigni
Alphons Sordi
Vanessa Torlonia
Gianpietro Nonis
Tonia Giammusso-Abatantuono
Donatella Pedersoli-Cugia
Michela Marinetti
Damiano Beccheria
Flora Calvo-Calgari
Vito Leblanc
Melissa Gozzano-Ceravolo
Rita Ammaniti
Carolina Armellini
Dott. Osvaldo Villadicani
Gioele Troisi
Livia Nitti
Giorgia Curatoli
Durante Baggio
Atenulf Pederiva
Gastone Draghi
Lucia Barcella
Sante Lucchesi
Aurora Salvemini
Maura Castioni-Pavanello
Milena Boccioni
Niccolò Leone-Murri
Adelasia Doria
Laureano Sagredo
Irma Abatantuono
Dionigi Scialpi-Platini
Massimo Scarponi-Costalonga
Torquato Venier
Stella Gritti
Milena Bertoni
Ranieri Parisi
Clelia Ioppi
Dott. Pomponio Brenna
Fredo Panicucci
Sig. Pasqual Conte
Nanni Goldstein-Turci
Gianmarco Capuana
Sig.ra Maria Capuana
Lucia Virgilio-Juvara
Coluccio Ferrucci-Morandini
Lilla Camicione
Virginia Eco-Pignatti
Dott. Claudia Magrassi
Jolanda Aporti
Mariana Ligorio-Littizzetto
Melissa Cafarchia
Rossana Santoro
Sabatino Antonini
Pellegrino Botticelli
Luciana Ferrazzi
Franco Catenazzi
Ida Liverotti
Antonietta Trevisan
Marcantonio Tanzini
Melina Ubaldi
Vincenza Grasso
Michela Pontecorvo
Piersanti Bonanno-Abba
Elisa Interminelli
Sig. Arnulfo Doria
Enzo Petruzzi
Carolina Barillaro
Gioffre Parini-Tornatore
Alberico Turati
Mirko Lercari-Nievo
Donatello Gravina-Alighieri
Gastone Orengo-Tagliafierro
Alessio Rubbia
Sig. Azeglio Dallara
Livio Maderna
Enrico Marsili
Nedda Vezzali
Berenice Infantino
Camilla Ferrazzi
Teresa Tamborini
Enzo Bompiani
Isabella Gulotta
Fiorino Deledda
Letizia Metella
Aurora Infantino-Piane
Fabio Squarcione
Flavio Bergoglio
Dott. Benvenuto Ovadia
Valentina Bajardi
Giuseppina Pedersoli
Santino Piccio-Terragni
Fulvio Franzese-Grossi
Mercedes Iannucci
Tullio Cugia
Maria Cheda
Cipriano Gotti
Mercedes Casale
Antonietta Infantino
Serafina Cocci-Palladio
Natalia Conti
Ermenegildo Morosini
Michelangelo Tasca
Lamberto Vanvitelli
Agnolo Vigliotti
Maurizio Bersani
Sig.ra Teresa Bragaglia
Gioffre Basadonna
Sig.ra Elisa Rensi
Morena Dossi
Eraldo Gregori-Guarana
Dott. Beppe Serlupi
Gioacchino Bosio
Imelda Manunta
Sig. Ruggero Montecchi
Iolanda Castioni
Francesca Bosurgi-Travaglio
Sonia Carnera
Barbara Iannuzzi
Guarino Ostinelli
Mauro Cicilia
Serafina Monti
Guido Pistoletto
Sig. Gioele Altera
Luisa Proietti
Mauro Leonardi
Sig.ra Vanessa Borromini
Ermes Jilani
Stefani Greco
Marina Troisi
Rosalia Staglieno
Ninetta Zarlino-Dovara
Gilberto Pulci
Dott. Patrizio Totino
Graziano Gatto
Ferdinando Argan
Gianpietro Bellò-Granatelli
Erika Magnani
Alfredo Scandone
Maria Rensi
Atenulf Barzini
Paoletta Palladio
Silvia Giannotti-Dandolo
Dott. Teresa Acerbi
Enzio Salvini
Sig.ra Barbara Caccioppoli
Dott. Loredana Caffarelli
Sandro Venier
Isabella Bongiorno
Gianluca Avogadro
Baldassare Baracca
Uberto Pedrazzini
Giampaolo Fracci
Barbara Gotti
Gabriella Giannini
Alina Ferrabosco
Pierluigi Maffei
Sig.ra Claudia Papafava
Maurizio Ciani
Ludovica Asmundo
Emma Mazzi
Stefani Onisto
Paloma Pezzali
Alessandra Leopardi
Paulina Piccio
Dott. Massimo Scalfaro
Angelo Barzini
Sig. Carlo Sorrentino
Mariana Campano-Morosini
Pietro Mocenigo
Massimiliano Tron
Sig. Gastone Cuzzocrea
Enzio Ciampi-Collina
Salvatore Tutino
Galasso Barillaro
Paloma Bongiorno
Gian Sorrentino-Broschi
Valentina Tornatore-Ceravolo
Adriana Vecoli
Michelangelo Gramsci-Zito
Sig.ra Silvia Mannoia
Toni Togliatti
Livio Sorrentino
Donatella Quasimodo
Sig. Michelangelo Respighi
Oreste Calbo
Jolanda Savorgnan
Antonia Gremese
Paulina Leblanc
Fabia Proietti
Gianmarco Tamburini
Maria Doria
Sig.ra Flora Agnesi
Ippazio Interminelli-Cesarotti
Alessio Nolcini
Fabio Stoppani
Dott. Fabrizia Morucci
Elvira Trapanese
Sig.ra Greca Chiappetta
